College Name,District,Type,Branch,Category,Min Percentage (%),Approx Annual Fees,Hostel Facility,Hostel Fee
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,EWS,66.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,NT-A,61.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,NT-B,61.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,NT-C,61.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,NT-D,61.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,VJ/DT,61.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,TFWS,73.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,OPEN,66.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,OBC,62.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,SC,56.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,ST,48.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,EWS,64.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,NT-A,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,NT-B,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,NT-C,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,NT-D,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,VJ/DT,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Information Technology,TFWS,71.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,OPEN,66.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,OBC,62.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,SC,56.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,ST,48.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,EWS,64.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,NT-A,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,NT-B,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,NT-C,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,NT-D,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,VJ/DT,59.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Artificial Intelligence & Data Science,TFWS,71.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,OPEN,62.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,OBC,58.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,SC,52.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,ST,44.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,EWS,60.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,NT-A,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,NT-B,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,NT-C,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,NT-D,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,VJ/DT,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electronics & Telecommunication,TFWS,67.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,OPEN,62.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,OBC,58.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,SC,52.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,ST,44.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,EWS,60.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,NT-A,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,NT-B,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,NT-C,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,NT-D,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,VJ/DT,55.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Electrical Engineering,TFWS,67.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,OPEN,60.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,OBC,56.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,SC,50.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,ST,42.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,EWS,58.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,NT-A,53.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,NT-B,53.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Mechanical Engineering,NT-C,53.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
